CODESC;LONGITUDE;LATITUDE
35457243;-46.78930000000;-23.43850000000
35479500;-46.71220000000;-23.45440000000
35005411;-46.78060000000;-23.73710000000
35925378;-46.72490000000;-23.83250000000
35036730;-46.69450000000;-23.73610000000
35044441;-46.67390000000;-23.76080000000
35902287;-46.68080000000;-23.75360000000
35179848;-46.78850000000;-23.66670000000
35107591;-46.77070000000;-23.66530000000
35041051;-46.76740000000;-23.66120000000
35048720;-46.78940000000;-23.65800000000
35124795;-46.75690000000;-23.64590000000
35053961;-46.74680000000;-23.65760000000
35923473;-46.74590000000;-23.64750000000
35906530;-46.73050000000;-23.62020000000
35107487;-46.71140000000;-23.68710000000
35902925;-46.70210000000;-23.68500000000
35168671;-46.69370000000;-23.71440000000
35038271;-46.68700000000;-23.70960000000
35041609;-46.68120000000;-23.72190000000
35053879;-46.66300000000;-23.69270000000
35140004;-46.67180000000;-23.64820000000
35107049;-46.66840000000;-23.64960000000
35004133;-46.68500000000;-23.61840000000
35355185;-46.80710000000;-23.44110000000
35053260;-46.75840000000;-23.58590000000
35053193;-46.75830000000;-23.55720000000
35133346;-46.72930000000;-23.50940000000
35118989;-46.75050000000;-23.47120000000
35100043;-46.72740000000;-23.49410000000
35003967;-46.72000000000;-23.57660000000
35105302;-46.70760000000;-23.57400000000
35118928;-46.70280000000;-23.52840000000
35138903;-46.67050000000;-23.59100000000
35102829;-46.67130000000;-23.53930000000
35167782;-46.71060000000;-23.48180000000
35805063;-46.66490000000;-23.46590000000
35290543;-46.74930000000;-23.44040000000
35038097;-46.73790000000;-23.45250000000
35151518;-46.73220000000;-23.45390000000
35287040;-46.72810000000;-23.43380000000
35299583;-46.75660000000;-23.40990000000
35159281;-46.75380000000;-23.40760000000
35124709;-46.75260000000;-23.40140000000
35901684;-46.71210000000;-23.44130000000
35130333;-46.68570000000;-23.45200000000
35923503;-46.65750000000;-23.68310000000
35005113;-46.65970000000;-23.67320000000
35004868;-46.63650000000;-23.68100000000
35139580;-46.65590000000;-23.65270000000
35004583;-46.64950000000;-23.65140000000
35107074;-46.64330000000;-23.65810000000
35107050;-46.63930000000;-23.64500000000
35038210;-46.63620000000;-23.64930000000
35004625;-46.62990000000;-23.62140000000
35154155;-46.62320000000;-23.62700000000
35162498;-46.60840000000;-23.63310000000
35107438;-46.62320000000;-23.61280000000
35119234;-46.48990000000;-23.60120000000
35003244;-46.47120000000;-23.61560000000
35923916;-46.44510000000;-23.63410000000
35909075;-46.45790000000;-23.60950000000
35153084;-46.44090000000;-23.59730000000
35398408;-46.42720000000;-23.60940000000
35922146;-46.41620000000;-23.62330000000
35103548;-46.66040000000;-23.55670000000
35106926;-46.63660000000;-23.56010000000
35001659;-46.61350000000;-23.54000000000
35001512;-46.59700000000;-23.55620000000
35392315;-46.63500000000;-23.50160000000
35000371;-46.65760000000;-23.47040000000
35100444;-46.62640000000;-23.50500000000
35156231;-46.60960000000;-23.52700000000
35000760;-46.59700000000;-23.50830000000
35001302;-46.62220000000;-23.46320000000
35906803;-46.61150000000;-23.46810000000
35101539;-46.58460000000;-23.57190000000
35101734;-46.57350000000;-23.58980000000
35101692;-46.57850000000;-23.58140000000
35287581;-46.58540000000;-23.54810000000
35101151;-46.57450000000;-23.55630000000
35060574;-46.57090000000;-23.53790000000
35136906;-46.54970000000;-23.57740000000
35002240;-46.54870000000;-23.57050000000
35001880;-46.54560000000;-23.59290000000
35140788;-46.53970000000;-23.55700000000
35002636;-46.53140000000;-23.54020000000
35037370;-46.57270000000;-23.50100000000
35001036;-46.58600000000;-23.49230000000
35001296;-46.58000000000;-23.48570000000
35037783;-46.57320000000;-23.47990000000
35054446;-46.56940000000;-23.46460000000
35223165;-46.55760000000;-23.51770000000
35102015;-46.54970000000;-23.52650000000
35002586;-46.53910000000;-23.52220000000
35916729;-46.58080000000;-23.45540000000
35041695;-46.51150000000;-23.58690000000
35002653;-46.51440000000;-23.55190000000
35048641;-46.48710000000;-23.56280000000
35296016;-46.49390000000;-23.54030000000
35157089;-46.53040000000;-23.51810000000
35911008;-46.46940000000;-23.52280000000
35039248;-46.46230000000;-23.55760000000
35805440;-46.45100000000;-23.54320000000
35102301;-46.45520000000;-23.53040000000
35048689;-46.44090000000;-23.53850000000
35914721;-46.41950000000;-23.55000000000
35156553;-46.45500000000;-23.52740000000
35900060;-46.42610000000;-23.51680000000
35055591;-46.40130000000;-23.49350000000
35039123;-46.39820000000;-23.50950000000
35902861;-46.38020000000;-23.48430000000
